id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
219769,Studio apartment near Mykonos town,1138569,David,,Μυκόνου (Μykonos),37.43851,25.33006,Entire home/apt,70,4,41,2018-09-18,0.42,3,272
220186,Apartment with garden & sea view near Mykonos Town,1138569,David,,Μυκόνου (Μykonos),37.43879,25.32856,Entire home/apt,110,5,13,2016-10-14,0.15,3,272
226057,Beautiful studio in Mykonos Town,985350,Chiana,,Μυκόνου (Μykonos),37.44485,25.32929,Entire home/apt,300,2,55,2019-09-10,1.07,1,360
227900,"Holidays in family ""Marisa's rooms"" (Paros island)",1188841,Marisa,,Πάρου (Paros),37.08633,25.15456,Hotel room,25,1,216,2019-09-23,2.22,7,150
235752,Ladiko Villa with Pool Jacuzzi outdoor,125660,Claudia,,Ρόδου (Rhodes),36.31971,28.19548,Entire home/apt,360,5,13,2019-08-17,0.15,19,356
237821,Mykonos Traditional Villa,1246878,Pavlos,,Μυκόνου (Μykonos),37.4542,25.378,Entire home/apt,257,3,7,2019-08-31,0.18,1,363
238590,Newly renovated maisonette close to the beach,1251004,Alexia,,Μυκόνου (Μykonos),37.41439,25.34608,Entire home/apt,130,2,31,2019-09-26,0.35,1,151
240929,Your Own Summer House in Paros!,1263829,Elena,,Πάρου (Paros),37.02111,25.10333,Entire home/apt,120,4,26,2019-07-28,0.35,3,268
248447,Villa Kisiris Imerovigli Santorini Sleeps 8,1301693,Grigorios,,Θήρας (Santorini),36.43417,25.42162,Entire home/apt,399,2,41,2019-09-03,0.56,3,308
252112,Olive Branch Villa,1322812,Kayt,,Κω (Kos),36.8629,27.20766,Entire home/apt,150,1,7,2019-09-06,0.13,1,324
253708,Apartment  for 2  - pool & sea view,1332672,Silvia,,Θήρας (Santorini),36.36067,25.39233,Entire home/apt,90,2,92,2019-09-14,1.03,11,3
260232,Apartment with pool & caldera view,1332672,Silvia,,Θήρας (Santorini),36.3578,25.39605,Entire home/apt,130,3,54,2019-09-05,0.69,11,14
269070,Ideally Located Apartment in Kos,1409607,Ioannis,,Κω (Kos),36.89169,27.29682,Entire home/apt,100,5,47,2019-06-01,0.53,2,333
276794,Villa Azzuro (Mykonian Villa),1445967,Thanasis,,Μυκόνου (Μykonos),37.44948,25.41756,Entire home/apt,320,3,22,2019-09-17,0.29,46,181
277574,Paros Butterfly Villas-Villa 1,1449341,Eleni,,Πάρου (Paros),37.04145,25.13014,Entire home/apt,114,3,1,2019-08-03,0.51,8,365
282396,Parathira cave house 1,1284976,Laskarina,,Θήρας (Santorini),36.46176,25.3783,Entire home/apt,260,2,187,2019-09-22,2.10,6,141
283638,Unique Architecture Cave House,1284976,Laskarina,,Θήρας (Santorini),36.46124,25.37576,Entire home/apt,540,2,209,2019-09-23,2.36,6,255
285107,Paros Butterfly Villas-Villa 2,1449341,Eleni,,Πάρου (Paros),37.02765,25.12862,Entire home/apt,100,3,1,2018-10-11,0.08,8,365
285820,Sea Front Villa-Old Town of Paros,1449341,Eleni,,Πάρου (Paros),37.06414,25.15658,Entire home/apt,80,3,86,2019-09-18,1.01,8,335
287837,Paros Butterfly Villas-VillaStudio8,1449341,Eleni,,Πάρου (Paros),37.04253,25.12969,Entire home/apt,80,3,1,2012-04-21,0.01,8,365
