id,listing_url,name
1019829,https://www.airbnb.com/rooms/1019829,Studio for 2or 3persons KamariBeach
1027877,https://www.airbnb.com/rooms/1027877,"Villa Fegari, Romance studio"
1086465,https://www.airbnb.com/rooms/1086465,1.OceanisBay breakfast by the beach
1088446,https://www.airbnb.com/rooms/1088446,"Wineryhouse ""where dreams live..."""
1089382,https://www.airbnb.com/rooms/1089382,House of the Singing Birds.
1091470,https://www.airbnb.com/rooms/1091470,2-3 persons studios @Anny's Perissa
1091974,https://www.airbnb.com/rooms/1091974,The Sunny Winehouse
1106724,https://www.airbnb.com/rooms/1106724,House for 4 included car and breakf
1111543,https://www.airbnb.com/rooms/1111543,Calderimi Traditional Family House
1116815,https://www.airbnb.com/rooms/1116815,"Clean,Coozy and marvelous view"
1134117,https://www.airbnb.com/rooms/1134117,Santorini Traditional Cave House
1144810,https://www.airbnb.com/rooms/1144810,"SantoriniParadise: BLUE & WHITE, Caldera view!"
1146372,https://www.airbnb.com/rooms/1146372,Gaia Villa
1152252,https://www.airbnb.com/rooms/1152252,"SantoriniParadise: PINK & BLUE Caves, hot tub!"
1158147,https://www.airbnb.com/rooms/1158147,"Earth House in Villa Ariadni, Oia"
1160736,https://www.airbnb.com/rooms/1160736,"Tramountana Villa, 3bdrms, private pool & sea view"
1160828,https://www.airbnb.com/rooms/1160828,"Livas Villa, 1 bedroom & private pool (2 to 5 pax)"
1160992,https://www.airbnb.com/rooms/1160992,"Levantes Villa. 2bedrooms, private pool & sea view"
1161047,https://www.airbnb.com/rooms/1161047,"Skiron Villa, 2 bedrooms, and private pool"
1161069,https://www.airbnb.com/rooms/1161069,"Zephyros Villa. 1 bedroom, private pool & sea view"
1199117,https://www.airbnb.com/rooms/1199117,Thea-bungalows for 2 - 4 guest
1201741,https://www.airbnb.com/rooms/1201741,Ersi villas Family room 2 - 5 pax
1202422,https://www.airbnb.com/rooms/1202422,"Villa ""TURQUOISE""-OIA SUNSET VILLAS- Pools and Spa"
1210544,https://www.airbnb.com/rooms/1210544,Pyrgos old winery villa
1210818,https://www.airbnb.com/rooms/1210818,Menia's Cave House
1211286,https://www.airbnb.com/rooms/1211286,Emporio Cycladic Traditional Style
1220363,https://www.airbnb.com/rooms/1220363,Zoe Aegeas Honeymoon studio
1222035,https://www.airbnb.com/rooms/1222035,Rhapsody apartments
1257581,https://www.airbnb.com/rooms/1257581,Your Santorini Cave House!
1257611,https://www.airbnb.com/rooms/1257611,Eos Villa: Santorini villa with private pool
1258856,https://www.airbnb.com/rooms/1258856,Eos Santorini Private villa (8 to 10 per)
1265000,https://www.airbnb.com/rooms/1265000,Jasmin the Artist House in Finikia-by Thireon
1273947,https://www.airbnb.com/rooms/1273947,"Argosuites Oia, with  hydromassage"
1275043,https://www.airbnb.com/rooms/1275043,Studio for 3 in Oia!Caldera View!
1277504,https://www.airbnb.com/rooms/1277504,"Argosuites Oia, Cave house Atalanta"
1285062,https://www.airbnb.com/rooms/1285062,Villa Amalia-by Thireon
1298287,https://www.airbnb.com/rooms/1298287,Caldera views autonomous studio
1298613,https://www.airbnb.com/rooms/1298613,Hanging at the top of the world1
1327815,https://www.airbnb.com/rooms/1327815,Hanging at the top of the world2
1328484,https://www.airbnb.com/rooms/1328484,Superior quadruple studio
1345950,https://www.airbnb.com/rooms/1345950,"Villa Ilias Pool Facing, Folitsa"
1359290,https://www.airbnb.com/rooms/1359290,Full Moon Villas Sea with View & Private Jacuzzi
1362610,https://www.airbnb.com/rooms/1362610,Secret Escape Villa with Private Pool & Sea View!!
1366799,https://www.airbnb.com/rooms/1366799,Akrotiri caldera villa with pool
1384387,https://www.airbnb.com/rooms/1384387,"Argosuites Oia,Cave house Orpheus "
1395834,https://www.airbnb.com/rooms/1395834,SOUL CAVE HOUSE-VOLCANO VIEW
1407323,https://www.airbnb.com/rooms/1407323, Pano Meria Studio One in Oia
1407801,https://www.airbnb.com/rooms/1407801,Pano Meria Studio Two in Oia
1407954,https://www.airbnb.com/rooms/1407954,Pano Meria Cave House Two in Oia
1435963,https://www.airbnb.com/rooms/1435963,Studio private 1min. from the sea
1443651,https://www.airbnb.com/rooms/1443651,"Villa ""DIAMOND"" - OIA SUNSET VILLAS -Pools and Spa"
1444132,https://www.airbnb.com/rooms/1444132,Swinging Sunset Villa
1444207,https://www.airbnb.com/rooms/1444207,"Villa ""PEARL"" - OIA SUNSET VILLAS - Pools and Spa"
1451903,https://www.airbnb.com/rooms/1451903,Studio Ancient Thira view in Kamari
1470286,https://www.airbnb.com/rooms/1470286,ANEMOLIA VILLA MEGALOCHORI SANTORIN
1491320,https://www.airbnb.com/rooms/1491320,Captain's Cave apt for 4 in Oia!
