,beds,guests,bedrooms,baths,bath,bedroom,bed,half-bath
https://www.airbnb.com/rooms/13002541,4,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13004834,2,3,2,0,1,0,0,0
https://www.airbnb.com/rooms/13017984,3,5,2,1.5,0,0,0,0
https://www.airbnb.com/rooms/13027943,2,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/13035809,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13039221,2,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/13039986,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13042951,3,4,0,0,0,1,0,0
https://www.airbnb.com/rooms/13072544,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13077654,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13085050,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13087364,3,6,3,1.5,0,0,0,0
https://www.airbnb.com/rooms/13091350,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13099117,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/13110451,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/13127515,6,7,2,2,0,0,0,0
https://www.airbnb.com/rooms/13131,3,5,2,3,0,0,0,0
https://www.airbnb.com/rooms/13132010,2,2,0,0,0,1,0,0
https://www.airbnb.com/rooms/13133470,3,6,3,2,0,0,0,0
https://www.airbnb.com/rooms/13133612,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/13143078,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/13143280,4,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13144079,2,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13144730,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/13150128,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/13151304,3,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/13152523,4,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/13152817,3,3,0,0,1,0,0,0
https://www.airbnb.com/rooms/13166487,3,8,3,2,0,0,0,0
https://www.airbnb.com/rooms/13168961,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/13169143,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/13205722,2,3,0,1.5,0,1,0,0
https://www.airbnb.com/rooms/13237937,4,5,2,2,0,0,0,0
